Rank,Name,Gender
1888,Natasha Kowalski,Female
1888,Kaleigh Kurtz,Female
1888,Emilia Larsson,Female
1888,Veronica Latsko,Female
1888,Annelie Leitner,Female
1888,Eva Llamas,Female
1888,Nina Lührßen,Female
1888,Olivie Lukášová,Female
1888,Tyler Lussi,Female
1888,Ramona Maier,Female
1888,Cecilia Marcos,Female
1888,Lara Marti,Female
1888,Tara McKeown,Female
1888,Cassie Miller,Female
1888,Lauren Milliet,Female
1888,Narumi Miura,Female
1888,Hinata Miyazawa,Female
1888,Paige Monaghan,Female
1888,Gift Monday,Female
1888,Linda Motlhalo,Female
1888,Yasmin Mrabet,Female
1888,Carly Nelson,Female
1888,Lena Ostermeier,Female
1888,Marie Petiteau,Female
1888,Brianna Pinto,Female
1888,Madison Pogarch,Female
1888,Gio Garbelini,Female
1888,Megan Reid,Female
1888,Lauri,Female
1888,Quinty Sabajo,Female
1888,Bibi,Female
1888,Kayla Sharples,Female
1888,Nycole Raysla,Female
1888,Kirsty Smith,Female
1888,Bianca St-Georges,Female
1888,Kylie Strom,Female
1888,Maria Thorisdottir,Female
1888,Valedezate,Female
1888,Amalie Vangsgaard,Female
1888,Justine Vanhaevermaet,Female
1888,Ally Watt,Female
1888,Ryan Williams,Female
1888,Pia-Sophie Wolter,Female
1888,McCall Zerboni,Female
1888,Maite Zubieta,Female
2318,Kerry Abello,Female
2318,Marie-Yasmine Alidou,Female
2318,Andrea Álvarez,Female
2318,Bernadette Amani,Female
2318,Amira Arfaoui,Female
2318,Dorian Bailey,Female
2318,Maike Berentzen,Female
2318,Croix Bethune,Female
2318,Michelle Betos,Female
2318,Gemma Bonner,Female
2318,Michaela Brandenburg,Female
2318,Belle Briede,Female
2318,Courtney Brosnan,Female
2318,Jody Brown,Female
2318,Laurie Cance,Female
2318,Cindy Caputo,Female
2318,Lice Chamorro,Female
2318,Kenza Chapelle,Female
2318,Remina Chiba,Female
2318,Silke Demeyere,Female
2318,Mariam Diakité,Female
2318,Pauleta,Female
2318,Lisa Doorn,Female
2318,Imani Dorsey,Female
2318,Salomé Elisor,Female
2318,Estella,Female
2318,Bayley Feist,Female
2318,Megan Finnigan,Female
2318,Paula Flach,Female
2318,Melissa Friedrich,Female
2318,Vanessa Fürst,Female
2318,Débora,Female
2318,Violeta Quiles,Female
2318,Ryan Gareis,Female
2318,Luca Graf,Female
2318,Lisanne Gräwe,Female
2318,Alicia-Sophie Gudorf,Female
2318,Madison Haley,Female
2318,Sophie Román Haug,Female
2318,Janina Hechler,Female
2318,Karen Holmgaard,Female
2318,Natalie Jacobs,Female
2318,Celia,Female
2318,Grace Kazadi,Female
2318,Missy Bo Kearns,Female
2318,Tziarra King,Female
2318,Lize Kop,Female
2318,Eva Kouache,Female
2318,Tereza Krejčiříková,Female
2318,Anissa Lahmari,Female
2318,Hayley Lauder,Female
2318,Carrie Lawrence,Female
2318,Lee Young Ju,Female
2318,Vanessa Leimenstoll,Female
2318,Janina Leitzig,Female
2318,Romée Leuchter,Female
2318,María Llompart,Female
2318,Joanne Love,Female
2318,Sofia Manner,Female
2318,Héloïse Mansuy,Female
2318,Nealy Martin,Female
2318,Asun Martínez,Female
